code,date,price
011070,2021-03-30,205500
011070,2021-03-29,200500
011070,2021-03-26,205500
011070,2021-03-25,204500
011070,2021-03-24,203500
011070,2021-03-23,205500
011070,2021-03-22,211500
011070,2021-03-19,211000
011070,2021-03-18,213500
011070,2021-03-17,217000
011070,2021-03-16,221000
011070,2021-03-15,217000
011070,2021-03-12,218000
011070,2021-03-11,211000
011070,2021-03-10,210500
011070,2021-03-09,206500
011070,2021-03-08,210500
011070,2021-03-05,207500
011070,2021-03-04,211000
011070,2021-03-03,209500
011070,2021-03-02,203000
011070,2021-02-26,199000
011070,2021-02-25,208000
011070,2021-02-24,204000
011070,2021-02-23,220500
011070,2021-02-22,225000
066570,2021-04-05,154500
066570,2021-04-02,158500
066570,2021-04-01,159000
066570,2021-03-31,150000
066570,2021-03-30,152000
066570,2021-03-29,140500
066570,2021-03-26,143000
066570,2021-03-25,148000
066570,2021-03-24,146500
066570,2021-03-23,145500
066570,2021-03-22,155000
066570,2021-03-19,153000
066570,2021-03-18,155500
066570,2021-03-17,158000
066570,2021-03-16,158000
066570,2021-03-15,151500
066570,2021-03-12,152500
066570,2021-03-11,147500
066570,2021-03-10,142500
066570,2021-03-09,144500
066570,2021-03-08,143000
066570,2021-03-05,148500
066570,2021-03-04,146000
066570,2021-03-03,150500
066570,2021-03-02,149000
066570,2021-02-26,146500
066570,2021-02-25,154000
066570,2021-02-24,150000
066570,2021-02-23,157500
066570,2021-02-22,166000
037560,2021-04-05,4860
037560,2021-04-02,4780
037560,2021-04-01,4780
037560,2021-03-31,4920
037560,2021-03-30,4795
037560,2021-03-29,4795
037560,2021-03-26,4675
037560,2021-03-25,4540
037560,2021-03-24,4580
037560,2021-03-23,4565
037560,2021-03-22,4645
037560,2021-03-19,4680
037560,2021-03-18,4670
037560,2021-03-17,4685
037560,2021-03-16,4660
037560,2021-03-15,4535
037560,2021-03-12,4520
037560,2021-03-11,4465
037560,2021-03-10,4435
037560,2021-03-09,4455
037560,2021-03-08,4540
037560,2021-03-05,4570
037560,2021-03-04,4620
037560,2021-03-03,4590
037560,2021-03-02,4530
037560,2021-02-26,4520
037560,2021-02-25,4665
037560,2021-02-24,4605
037560,2021-02-23,4680
037560,2021-02-22,4820
010060,2021-04-05,115000
010060,2021-04-02,116000
010060,2021-04-01,119000
010060,2021-03-31,121500
010060,2021-03-30,118000
010060,2021-03-29,119000
010060,2021-03-26,111000
010060,2021-03-25,113000
010060,2021-03-24,113000
010060,2021-03-23,114500
010060,2021-03-22,116000
010060,2021-03-19,115500
010060,2021-03-18,120000
010060,2021-03-17,125000
010060,2021-03-16,127500
010060,2021-03-15,123500
010060,2021-03-12,124500
010060,2021-03-11,120000
010060,2021-03-10,117500
010060,2021-03-09,122000
010060,2021-03-08,125000
010060,2021-03-05,137500
010060,2021-03-04,127000
010060,2021-03-03,123500
010060,2021-03-02,122000
010060,2021-02-26,125000
010060,2021-02-25,122500
010060,2021-02-24,108500
010060,2021-02-23,117500
010060,2021-02-22,120000
096770,2021-04-05,232500
096770,2021-04-02,241500
096770,2021-04-01,241500
096770,2021-03-31,219000
096770,2021-03-30,223000
096770,2021-03-29,205000
096770,2021-03-26,209000
096770,2021-03-25,207500
096770,2021-03-24,204500
096770,2021-03-23,202000
096770,2021-03-22,204500
096770,2021-03-19,211500
096770,2021-03-18,214500
096770,2021-03-17,216000
096770,2021-03-16,215500
096770,2021-03-15,228500
096770,2021-03-12,242500
096770,2021-03-11,241500
096770,2021-03-10,226000
096770,2021-03-09,230000
096770,2021-03-08,239500
096770,2021-03-05,252000
096770,2021-03-04,264000
096770,2021-03-03,266000
096770,2021-03-02,265000
096770,2021-02-26,260500
096770,2021-02-25,270000
096770,2021-02-24,266500
096770,2021-02-23,284500
096770,2021-02-22,284000
011810,2021-04-05,5940
011810,2021-04-02,5870
011810,2021-04-01,5880
011810,2021-03-31,6050
011810,2021-03-30,6080
011810,2021-03-29,5940
011810,2021-03-26,6100
011810,2021-03-25,5740
011810,2021-03-24,5730
011810,2021-03-23,5730
011810,2021-03-22,6060
011810,2021-03-19,5630
011810,2021-03-18,5670
011810,2021-03-17,5710
011810,2021-03-16,5700
011810,2021-03-15,5610
011810,2021-03-12,5660
011810,2021-03-11,5650
011810,2021-03-10,5520
011810,2021-03-09,5520
011810,2021-03-08,5560
011810,2021-03-05,5560
011810,2021-03-04,5390
011810,2021-03-03,5400
011810,2021-03-02,5170
011810,2021-02-26,5300
011810,2021-02-25,5520
011810,2021-02-24,5450
011810,2021-02-23,5620
011810,2021-02-22,5720
024070,2021-04-05,3740
024070,2021-04-02,3710
024070,2021-04-01,3640
024070,2021-03-31,3695
024070,2021-03-30,3515
024070,2021-03-29,3510
024070,2021-03-26,3550
024070,2021-03-25,3675
024070,2021-03-24,3585
024070,2021-03-23,3630
024070,2021-03-22,3675
024070,2021-03-19,3655
024070,2021-03-18,3660
024070,2021-03-17,3600
024070,2021-03-16,3585
024070,2021-03-15,3555
024070,2021-03-12,3545
024070,2021-03-11,3470
024070,2021-03-10,3350
024070,2021-03-09,3440
024070,2021-03-08,3410
024070,2021-03-05,3495
024070,2021-03-04,3605
024070,2021-03-03,3655
024070,2021-03-02,3470
024070,2021-02-26,3485
024070,2021-02-25,3640
024070,2021-02-24,3585
024070,2021-02-23,3705
024070,2021-02-22,3760
011420,2021-04-05,1770
011420,2021-04-02,1775
011420,2021-04-01,1820
011420,2021-03-31,1790
011420,2021-03-30,1800
011420,2021-03-29,1760
011420,2021-03-26,1660
011420,2021-03-25,1620
011420,2021-03-24,1580
011420,2021-03-23,1645
011420,2021-03-22,1680
011420,2021-03-19,1620
011420,2021-03-18,1635
011420,2021-03-17,1615
011420,2021-03-16,1605
011420,2021-03-15,1595
011420,2021-03-12,1565
011420,2021-03-11,1540
011420,2021-03-10,1505
011420,2021-03-09,1515
011420,2021-03-08,1535
011420,2021-03-05,1540
011420,2021-03-04,1535
011420,2021-03-03,1510
011420,2021-03-02,1480
011420,2021-02-26,1450
011420,2021-02-25,1480
011420,2021-02-24,1465
011420,2021-02-23,1485
011420,2021-02-22,1495
002100,2021-04-05,13550
002100,2021-04-02,13400
002100,2021-04-01,13550
002100,2021-03-31,13600
002100,2021-03-30,13800
002100,2021-03-29,13800
002100,2021-03-26,13750
002100,2021-03-25,13650
002100,2021-03-24,13600
002100,2021-03-23,13650
002100,2021-03-22,13950
002100,2021-03-19,14150
002100,2021-03-18,14150
002100,2021-03-17,14250
002100,2021-03-16,13800
002100,2021-03-15,13650
002100,2021-03-12,13450
002100,2021-03-11,13300
002100,2021-03-10,13250
002100,2021-03-09,13450
002100,2021-03-08,13750
002100,2021-03-05,13700
002100,2021-03-04,13350
002100,2021-03-03,13150
002100,2021-03-02,12950
002100,2021-02-26,13150
002100,2021-02-25,13300
002100,2021-02-24,13300
002100,2021-02-23,14400
002100,2021-02-22,13950
012320,2021-04-05,42550
012320,2021-04-02,41850
012320,2021-04-01,42450
012320,2021-03-31,40600
012320,2021-03-30,40000
012320,2021-03-29,39700
012320,2021-03-26,37500
012320,2021-03-25,36100
012320,2021-03-24,36000
012320,2021-03-23,35500
012320,2021-03-22,36100
012320,2021-03-19,36000
012320,2021-03-18,36050
012320,2021-03-17,35950
012320,2021-03-16,35800
012320,2021-03-15,34300
012320,2021-03-12,33850
012320,2021-03-11,33900
012320,2021-03-10,32500
012320,2021-03-09,33900
012320,2021-03-08,34200
012320,2021-03-05,33800
012320,2021-03-04,34100
012320,2021-03-03,33600
012320,2021-03-02,32150
012320,2021-02-26,31700
012320,2021-02-25,31550
012320,2021-02-24,30800
012320,2021-02-23,31150
012320,2021-02-22,31200
007690,2021-04-05,72000
007690,2021-04-02,66800
007690,2021-04-01,67700
007690,2021-03-31,68900
007690,2021-03-30,68800
007690,2021-03-29,68800
007690,2021-03-26,65500
007690,2021-03-25,64000
007690,2021-03-24,63500
007690,2021-03-23,62900
007690,2021-03-22,63000
007690,2021-03-19,63300
007690,2021-03-18,62100
007690,2021-03-17,61900
007690,2021-03-16,61700
007690,2021-03-15,57200
007690,2021-03-12,57800
007690,2021-03-11,58500
007690,2021-03-10,57200
007690,2021-03-09,57200
007690,2021-03-08,57200
007690,2021-03-05,55000
007690,2021-03-04,55200
007690,2021-03-03,55900
007690,2021-03-02,56000
007690,2021-02-26,55300
007690,2021-02-25,54200
007690,2021-02-24,51500
007690,2021-02-23,53600
007690,2021-02-22,52300
005320,2021-04-05,4140
005320,2021-04-02,4000
005320,2021-04-01,4110
005320,2021-03-31,4075
005320,2021-03-30,4195
005320,2021-03-29,4290
005320,2021-03-26,4555
005320,2021-03-25,4540
005320,2021-03-24,4470
005320,2021-03-23,4540
005320,2021-03-22,4430
005320,2021-03-19,4400
005320,2021-03-18,4245
005320,2021-03-17,4190
005320,2021-03-16,4180
005320,2021-03-15,4145
005320,2021-03-12,4040
005320,2021-03-11,3885
005320,2021-03-10,3865
005320,2021-03-09,3875
005320,2021-03-08,3975
005320,2021-03-05,4085
005320,2021-03-04,4100
005320,2021-03-03,4125
005320,2021-03-02,3985
005320,2021-02-26,4200
005320,2021-02-25,4150
005320,2021-02-24,4070
005320,2021-02-23,4320
005320,2021-02-22,4380
014530,2021-04-05,5860
014530,2021-04-02,5900
014530,2021-04-01,6220
014530,2021-03-31,6090
014530,2021-03-30,6660
014530,2021-03-29,6510
014530,2021-03-26,5240
014530,2021-03-25,5290
014530,2021-03-24,5300
014530,2021-03-23,5030
014530,2021-03-22,5120
014530,2021-03-19,4750
014530,2021-03-18,4815
014530,2021-03-17,4810
014530,2021-03-16,4645
014530,2021-03-15,3575
014530,2021-03-12,3560
014530,2021-03-11,3515
014530,2021-03-10,3540
014530,2021-03-09,3640
014530,2021-03-08,3810
014530,2021-03-05,3475
014530,2021-03-04,3420
014530,2021-03-03,3410
014530,2021-03-02,3450
014530,2021-02-26,3490
014530,2021-02-25,3570
014530,2021-02-24,3450
014530,2021-02-23,3575
014530,2021-02-22,3540
000270,2021-04-05,85500
000270,2021-04-02,86600
000270,2021-04-01,83500
000270,2021-03-31,82900
000270,2021-03-30,84300
000270,2021-03-29,81000
000270,2021-03-26,80600
000270,2021-03-25,81300
000270,2021-03-24,81800
000270,2021-03-23,83500
000270,2021-03-22,86100
000270,2021-03-19,87500
000270,2021-03-18,87700
000270,2021-03-17,84600
000270,2021-03-16,85800
000270,2021-03-15,85800
000270,2021-03-12,82800
000270,2021-03-11,82300
000270,2021-03-10,80700
000270,2021-03-09,83500
000270,2021-03-08,82800
000270,2021-03-05,81100
000270,2021-03-04,78700
000270,2021-03-03,80300
000270,2021-03-02,80100
000270,2021-02-26,79400
000270,2021-02-25,77000
000270,2021-02-24,75000
000270,2021-02-23,78700
000270,2021-02-22,80000
013700,2021-04-05,2495
013700,2021-04-02,2325
013700,2021-04-01,2200
013700,2021-03-31,2195
013700,2021-03-30,2210
013700,2021-03-29,2125
013700,2021-03-26,2140
013700,2021-03-25,2200
013700,2021-03-24,2225
013700,2021-03-23,2375
013700,2021-03-22,3010
013700,2021-03-19,2855
013700,2021-03-18,2880
013700,2021-03-17,2990
013700,2021-03-16,2925
013700,2021-03-15,2680
013700,2021-03-12,2930
013700,2021-03-11,2915
013700,2021-03-10,2920
013700,2021-03-09,3200
013700,2021-03-08,3125
013700,2021-03-05,3360
013700,2021-03-04,3440
013700,2021-03-03,3400
013700,2021-03-02,3400
013700,2021-02-26,3410
013700,2021-02-25,3460
013700,2021-02-24,3305
013700,2021-02-23,3540
013700,2021-02-22,3505
353200,2021-04-05,14450
353200,2021-04-02,14100
353200,2021-04-01,14350
353200,2021-03-31,14000
353200,2021-03-30,13850
353200,2021-03-29,13800
353200,2021-03-26,13900
353200,2021-03-25,13950
353200,2021-03-24,14100
353200,2021-03-23,14050
353200,2021-03-22,14350
353200,2021-03-19,14300
353200,2021-03-18,14150
353200,2021-03-17,14050
353200,2021-03-16,14350
353200,2021-03-15,14250
353200,2021-03-12,14100
353200,2021-03-11,13900
353200,2021-03-10,13950
353200,2021-03-09,14450
353200,2021-03-08,14200
353200,2021-03-05,14900
353200,2021-03-04,15100
353200,2021-03-03,15150
353200,2021-03-02,14550
353200,2021-02-26,14600
353200,2021-02-25,14850
353200,2021-02-24,14050
353200,2021-02-23,14750
353200,2021-02-22,15000
003090,2021-04-05,31150
003090,2021-04-02,32550
003090,2021-04-01,32500
003090,2021-03-31,32700
003090,2021-03-30,33000
003090,2021-03-29,32800
003090,2021-03-26,32450
003090,2021-03-25,32200
003090,2021-03-24,32850
003090,2021-03-23,32900
003090,2021-03-22,34000
003090,2021-03-19,35200
003090,2021-03-18,34650
003090,2021-03-17,36300
003090,2021-03-16,34150
003090,2021-03-15,32700
003090,2021-03-12,33250
003090,2021-03-11,32150
003090,2021-03-10,32400
003090,2021-03-09,33100
003090,2021-03-08,33500
003090,2021-03-05,34600
003090,2021-03-04,35700
003090,2021-03-03,36850
003090,2021-03-02,37400
003090,2021-02-26,36550
003090,2021-02-25,37750
003090,2021-02-24,36400
003090,2021-02-23,37700
003090,2021-02-22,40450
145720,2021-04-05,67900
145720,2021-04-02,68300
145720,2021-04-01,68700
145720,2021-03-31,64100
145720,2021-03-30,64000
145720,2021-03-29,64500
145720,2021-03-26,66500
145720,2021-03-25,67800
145720,2021-03-24,63900
145720,2021-03-23,61900
145720,2021-03-22,62000
145720,2021-03-19,63200
145720,2021-03-18,62700
145720,2021-03-17,64600
145720,2021-03-16,65000
145720,2021-03-15,64700
145720,2021-03-12,62200
145720,2021-03-11,63200
145720,2021-03-10,62300
145720,2021-03-09,61100
145720,2021-03-08,61100
145720,2021-03-05,61900
145720,2021-03-04,60100
145720,2021-03-03,60700
145720,2021-03-02,60000
145720,2021-02-26,61200
145720,2021-02-25,60200
145720,2021-02-24,52000
145720,2021-02-23,48600
145720,2021-02-22,49150
042670,2021-04-05,10850
042670,2021-04-02,10750
042670,2021-04-01,10600
042670,2021-03-31,11350
042670,2021-03-30,11250
042670,2021-03-29,11250
042670,2021-03-26,10250
042670,2021-03-25,10100
042670,2021-03-24,9550
042670,2021-03-23,9310
042670,2021-03-22,9880
042670,2021-03-19,8110
042670,2021-03-18,8210
042670,2021-03-17,8240
042670,2021-03-16,8250
042670,2021-03-15,8090
042670,2021-03-12,8110
042670,2021-03-11,7980
042670,2021-03-10,7680
042670,2021-03-09,7780
042670,2021-03-08,7860
042670,2021-03-05,7890
042670,2021-03-04,7960
042670,2021-03-03,8050
042670,2021-03-02,7950
042670,2021-02-26,7860
042670,2021-02-25,7990
042670,2021-02-24,7800
042670,2021-02-23,7980
042670,2021-02-22,8030
034020,2021-04-05,13100
034020,2021-04-02,13000
034020,2021-04-01,12650
034020,2021-03-31,13000
034020,2021-03-30,13200
034020,2021-03-29,13250
034020,2021-03-26,12700
034020,2021-03-25,12250
034020,2021-03-24,12050
034020,2021-03-23,11800
034020,2021-03-22,11900
034020,2021-03-19,11600
034020,2021-03-18,11650
034020,2021-03-17,11850
034020,2021-03-16,11650
034020,2021-03-15,11350
034020,2021-03-12,11350
034020,2021-03-11,10600
034020,2021-03-10,10650
034020,2021-03-09,10800
034020,2021-03-08,10700
034020,2021-03-05,10800
034020,2021-03-04,11150
034020,2021-03-03,11300
034020,2021-03-02,10700
034020,2021-02-26,10600
034020,2021-02-25,11100
034020,2021-02-24,10250
034020,2021-02-23,11000
034020,2021-02-22,11200
026890,2021-04-05,14200
026890,2021-04-02,13400
026890,2021-04-01,12850
026890,2021-03-31,12700
026890,2021-03-30,12100
026890,2021-03-29,12350
026890,2021-03-26,11800
026890,2021-03-25,11850
026890,2021-03-24,11950
026890,2021-03-23,12050
026890,2021-03-22,12300
026890,2021-03-19,12350
026890,2021-03-18,12300
026890,2021-03-17,12500
026890,2021-03-16,12450
026890,2021-03-15,12400
026890,2021-03-12,11700
026890,2021-03-11,10800
026890,2021-03-10,10500
026890,2021-03-09,11050
026890,2021-03-08,11250
026890,2021-03-05,11100
026890,2021-03-04,11350
026890,2021-03-03,11300
026890,2021-03-02,11150
026890,2021-02-26,11300
026890,2021-02-25,11550
026890,2021-02-24,11500
026890,2021-02-23,12200
026890,2021-02-22,12150
115390,2021-04-05,14800
115390,2021-04-02,14650
115390,2021-04-01,15000
115390,2021-03-31,14750
115390,2021-03-30,14850
115390,2021-03-29,14700
115390,2021-03-26,14750
115390,2021-03-25,14750
115390,2021-03-24,14550
115390,2021-03-23,14850
115390,2021-03-22,14850
115390,2021-03-19,14850
115390,2021-03-18,14850
115390,2021-03-17,14950
115390,2021-03-16,14650
115390,2021-03-15,14500
115390,2021-03-12,14700
115390,2021-03-11,15100
115390,2021-03-10,15350
115390,2021-03-09,14950
115390,2021-03-08,14900
115390,2021-03-05,14850
115390,2021-03-04,14750
115390,2021-03-03,14650
115390,2021-03-02,14600
115390,2021-02-26,14800
115390,2021-02-25,14700
115390,2021-02-24,14100
115390,2021-02-23,14350
115390,2021-02-22,14000
286940,2021-04-05,38750
286940,2021-04-02,38400
286940,2021-04-01,38100
286940,2021-03-31,38100
286940,2021-03-30,38250
286940,2021-03-29,38050
286940,2021-03-26,38100
286940,2021-03-25,38100
286940,2021-03-24,38000
286940,2021-03-23,38000
286940,2021-03-22,38200
286940,2021-03-19,38200
286940,2021-03-18,38450
286940,2021-03-17,38850
286940,2021-03-16,39150
286940,2021-03-15,39200
286940,2021-03-12,39100
286940,2021-03-11,39200
286940,2021-03-10,38800
286940,2021-03-09,38800
286940,2021-03-08,38900
286940,2021-03-05,39300
286940,2021-03-04,39150
286940,2021-03-03,39850
286940,2021-03-02,39850
